,date_,average_of_reviews_per_day,average_price_payment_per_day,sum_of_price_payment_per_day,min_of_price_payment_per_day,num_of_orders_per_day,num_of_order_by_customer_per_day
0,,1.0057142857142858,212.1701142857142,37129.76999999998,0.0,175,175
1,2016-09-15,1.0,,,,1,1
2,2016-10-04,1.0,110.66192307692306,2877.2099999999996,0.74,26,26
3,2016-10-05,1.0,214.22181818181815,2356.4399999999996,40.15,11,11
4,2016-10-06,1.0,175.1801739130435,20145.72,10.5,115,115
5,2016-10-07,1.0,203.0841666666667,12185.050000000003,34.42,60,60
6,2016-10-08,1.0,234.23518518518514,6324.3499999999985,29.86,27,27
7,2016-10-09,1.0,193.337,1933.37,51.05,10,10
8,2016-10-10,1.04,156.79880000000006,7839.940000000003,1.05,50,50
9,2016-10-11,1.0,112.34285714285713,3145.5999999999995,20.11,28,28
10,2016-10-12,1.0,93.05199999999999,465.25999999999993,45.7,5,5
11,2016-10-13,1.3333333333333333,220.57333333333335,661.72,34.42,3,3
12,2016-10-18,1.0,148.69333333333333,446.08,110.92,3,3
13,2016-12-23,1.0,19.62,19.62,19.62,1,1
14,2017-01-05,1.0,45.32,135.96,19.62,3,3
15,2017-01-06,1.0,138.11857142857144,966.83,16.71,7,7
16,2017-01-07,1.0,61.19090909090907,2019.2999999999993,11.62,33,33
17,2017-01-08,1.0,131.935,527.74,84.59,4,4
18,2017-01-09,1.0,215.8275,863.31,108.12,4,4
19,2017-01-10,1.0,176.08666666666667,1056.52,16.62,6,6
20,2017-01-11,1.0,245.28363636363636,2698.12,26.64,11,11
21,2017-01-12,1.0,187.77,2628.78,21.45,14,14
22,2017-01-13,1.0,236.68916666666667,2840.27,58.74,12,12
23,2017-01-14,1.0,99.64764705882351,1694.0099999999998,25.51,17,17
24,2017-01-15,1.0,172.9625,1383.7,50.02,8,8
25,2017-01-16,1.0,156.41133333333332,2346.1699999999996,19.71,15,15
26,2017-01-17,1.183673469387755,96.54224489795918,4730.57,1.43,49,49
27,2017-01-18,1.0,155.66742857142856,5448.36,2.54,35,35
28,2017-01-19,1.0,148.26999999999998,3855.0199999999995,25.51,26,26
29,2017-01-20,1.0,141.53407407407408,3821.42,10.9,27,27
30,2017-01-21,1.0384615384615385,142.82807692307694,3713.53,22.46,26,26
31,2017-01-22,1.0,167.11040000000006,4177.760000000001,40.95,25,25
32,2017-01-23,1.0,195.69757575757586,6458.020000000003,25.46,33,33
33,2017-01-24,1.0,160.64604166666672,7711.010000000003,0.96,48,48
34,2017-01-25,1.0,152.97861538461538,9943.61,22.46,65,65
35,2017-01-26,1.0,136.62202531645573,10793.140000000003,14.86,79,79
36,2017-01-27,1.0588235294117647,208.63901960784315,10640.59,15.71,51,51
37,2017-01-28,1.0,224.7054716981132,11909.39,5.82,53,53
38,2017-01-29,1.0,175.40833333333327,5262.249999999998,41.9,30,30
39,2017-01-30,1.0,186.01627450980388,9486.829999999998,5.56,51,51
40,2017-01-31,1.0129870129870129,191.21636363636364,14723.66,13.63,77,77
41,2017-02-01,1.0,130.53395348837205,11225.919999999996,3.14,86,86
42,2017-02-02,1.0,163.3549275362319,11271.490000000002,19.71,69,69
43,2017-02-03,1.0,157.64015873015876,9931.330000000002,12.78,63,63
44,2017-02-04,1.0,255.08027027027026,18875.94,6.14,74,74
45,2017-02-05,1.0,127.63157894736842,7275.0,22.93,57,57
46,2017-02-06,1.0,135.23188405797103,9331.000000000002,3.22,69,69
47,2017-02-07,1.015748031496063,149.90070866141735,19037.390000000003,23.45,127,127
48,2017-02-08,1.0,122.28639999999996,12228.639999999996,1.33,100,100
49,2017-02-09,1.00990099009901,128.72376237623766,13001.100000000004,0.39,101,101
50,2017-02-10,1.0,159.96213483146067,14236.630000000001,1.02,89,89
51,2017-02-11,1.0,203.7401851851852,11001.970000000001,30.95,54,54
52,2017-02-12,1.0,273.88759999999996,13694.38,14.89,50,50
53,2017-02-13,1.0,160.2220634920635,10093.990000000002,2.21,63,63
54,2017-02-14,1.011111111111111,189.4708888888889,17052.38,0.7,90,90
55,2017-02-15,1.0,135.18258823529405,11490.519999999995,4.51,85,85
56,2017-02-16,1.0,133.7325396825397,8425.150000000001,24.11,63,63
57,2017-02-17,1.0,161.99217391304347,7451.64,0.6,46,46
58,2017-02-18,1.0363636363636364,142.02800000000002,7811.540000000001,17.69,55,55
59,2017-02-19,1.0,122.68358974358974,4784.66,1.26,39,39
60,2017-02-20,1.0,142.19318181818178,6256.499999999999,17.69,44,44
61,2017-02-21,1.0,124.98568181818186,5499.370000000002,22.55,44,44
62,2017-02-22,1.025,171.54249999999996,13723.399999999998,0.28,80,80
63,2017-02-23,1.0,162.25076923076924,8437.04,25.86,52,52
64,2017-02-24,1.0,109.54406593406591,9968.509999999998,3.39,91,91
65,2017-02-25,1.0,110.22541666666673,5290.820000000003,0.86,48,48
66,2017-02-26,1.0,153.44627906976748,6598.190000000001,24.86,43,43
67,2017-02-27,1.0,138.39674418604653,5951.060000000001,4.63,43,43
68,2017-02-28,1.0,252.9927659574469,11890.660000000003,36.1,47,47
69,2017-03-01,1.0142857142857142,140.47842857142868,9833.490000000007,0.33,70,70
