,payment_type,payment_installments,min_payments_value,max_payments_value,avg_payments_value,sum_payments_values
0,boleto,1,11.62,7274.88,145.0344354023441,2869361.2699999753
1,credit_card,0,58.69,129.94,94.315,188.63
2,credit_card,1,0.01,13664.08,95.87292987625193,2440445.4299999927
3,credit_card,2,20.03,2442.82,127.22815032627128,1579283.0300000054
4,credit_card,3,30.0,3256.14,142.5393174648697,1491103.800000002
5,credit_card,4,40.0,3126.5,163.97683995491641,1163907.6099999966
6,credit_card,5,49.99,4809.44,183.46522237068183,961174.3000000021
7,credit_card,6,59.99,2828.42,209.8499515306125,822611.810000001
8,credit_card,7,69.97,2094.44,187.6736715867158,305157.3899999999
9,credit_card,8,37.58,6929.31,307.73742736644886,1313423.3400000038
10,credit_card,9,90.11,2116.01,203.44086956521718,131015.91999999987
11,credit_card,10,37.67,4950.34,415.0858370870872,2211577.340000001
12,credit_card,11,110.3,198.83,124.9321739130435,2873.4400000000005
13,credit_card,12,121.09,1543.25,321.6784962406015,42783.24
14,credit_card,13,130.0,278.0,150.4625,2407.4
15,credit_card,14,139.98,417.45,167.9626666666667,2519.4400000000005
16,credit_card,15,151.93,2647.76,445.5531081081081,32970.93
17,credit_card,16,160.12,651.05,292.69399999999996,1463.4699999999998
18,credit_card,17,170.0,177.99,174.6025,1396.82
19,credit_card,18,180.76,1232.85,486.48333333333335,13135.050000000001
20,credit_card,20,200.08,2022.33,615.8017647058823,10468.63
21,credit_card,21,212.03,303.02,243.69999999999996,731.0999999999999
22,credit_card,22,228.71,228.71,228.71,228.71
23,credit_card,23,236.48,236.48,236.48,236.48
24,credit_card,24,241.42,1440.1,610.048888888889,10980.880000000003
25,debit_card,1,13.38,4445.5,142.57017004578162,217989.7900000001
26,not_defined,1,0.0,0.0,0.0,0.0
27,voucher,1,0.0,3184.34,65.70335411255424,379436.8700000007
