,date_,total_orders_approved
0,2016-10-04,20
1,2016-10-05,11
2,2016-10-06,110
3,2016-10-07,59
4,2016-10-08,26
5,2016-10-09,10
6,2016-10-10,45
7,2016-10-11,28
8,2016-10-12,5
9,2016-10-13,3
10,2016-10-18,3
11,2016-12-23,1
12,2017-01-05,3
13,2017-01-06,3
14,2017-01-07,33
15,2017-01-08,4
16,2017-01-09,4
17,2017-01-10,6
18,2017-01-11,11
19,2017-01-12,14
20,2017-01-13,12
21,2017-01-14,17
22,2017-01-15,8
23,2017-01-16,15
24,2017-01-17,35
25,2017-01-18,33
26,2017-01-19,26
27,2017-01-20,26
28,2017-01-21,26
29,2017-01-22,25
30,2017-01-23,31
31,2017-01-24,46
32,2017-01-25,62
33,2017-01-26,75
34,2017-01-27,49
35,2017-01-28,52
36,2017-01-29,30
37,2017-01-30,40
38,2017-01-31,74
39,2017-02-01,81
40,2017-02-02,69
41,2017-02-03,61
42,2017-02-04,69
43,2017-02-05,56
44,2017-02-06,68
45,2017-02-07,124
46,2017-02-08,86
47,2017-02-09,91
48,2017-02-10,87
49,2017-02-11,54
