,product_category_name,num_products
0,,610
1,agro_industria_e_comercio,74
2,alimentos,82
3,alimentos_bebidas,104
4,artes,55
5,artes_e_artesanato,19
6,artigos_de_festas,26
7,artigos_de_natal,65
8,audio,58
9,automotivo,1900
10,bebes,919
11,bebidas,81
12,beleza_saude,2444
13,brinquedos,1411
14,cama_mesa_banho,3029
15,casa_conforto,111
16,casa_conforto_2,5
17,casa_construcao,225
18,cds_dvds_musicais,1
19,cine_foto,28
20,climatizacao,124
21,consoles_games,317
22,construcao_ferramentas_construcao,400
23,construcao_ferramentas_ferramentas,39
24,construcao_ferramentas_iluminacao,78
25,construcao_ferramentas_jardim,88
26,construcao_ferramentas_seguranca,91
27,cool_stuff,789
28,dvds_blu_ray,48
29,eletrodomesticos,370
30,eletrodomesticos_2,90
31,eletronicos,517
32,eletroportateis,231
33,esporte_lazer,2867
34,fashion_bolsas_e_acessorios,849
35,fashion_calcados,173
36,fashion_esporte,19
37,fashion_roupa_feminina,27
38,fashion_roupa_infanto_juvenil,5
39,fashion_roupa_masculina,95
40,fashion_underwear_e_moda_praia,53
41,ferramentas_jardim,753
42,flores,14
43,fraldas_higiene,12
44,industria_comercio_e_negocios,68
45,informatica_acessorios,1639
46,instrumentos_musicais,289
47,la_cuisine,10
48,livros_importados,31
49,livros_interesse_geral,216
50,livros_tecnicos,123
51,malas_acessorios,349
52,market_place,104
53,moveis_colchao_e_estofado,10
54,moveis_cozinha_area_de_servico_jantar_e_jardim,94
55,moveis_decoracao,2657
56,moveis_escritorio,309
57,moveis_quarto,45
58,moveis_sala,156
59,musica,27
60,papelaria,849
61,pc_gamer,3
62,pcs,30
63,perfumaria,868
64,pet_shop,719
65,portateis_casa_forno_e_cafe,31
66,portateis_cozinha_e_preparadores_de_alimentos,10
67,relogios_presentes,1329
68,seguros_e_servicos,2
69,sinalizacao_e_seguranca,93
70,tablets_impressao_imagem,9
71,telefonia,1134
72,telefonia_fixa,116
73,utilidades_domesticas,2335
