,customer_city,customer_state,total_unique_customer_city_state
0,abadia dos dourados,MG,3
1,abadiania,GO,1
2,abaete,MG,12
3,abaetetuba,PA,11
4,abaiara,CE,2
5,abaira,BA,2
6,abare,BA,2
7,abatia,PR,3
8,abdon batista,SC,1
9,abelardo luz,SC,6
10,abrantes,BA,2
11,abre campo,MG,6
12,abreu e lima,PE,9
13,acaiaca,MG,2
14,acailandia,MA,7
15,acajutiba,BA,1
16,acarau,CE,6
17,acari,RN,1
18,acegua,RS,2
19,acopiara,CE,7
20,acreuna,GO,7
21,acu,RN,3
22,acucena,MG,1
23,adamantina,SP,35
24,adhemar de barros,PR,1
25,adolfo,SP,5
26,adrianopolis,PR,1
27,adustina,BA,1
28,afogados da ingazeira,PE,8
29,afonso claudio,ES,11
30,afranio,PE,2
31,agisse,SP,1
32,agrestina,PE,1
33,agrolandia,SC,1
34,agronomica,SC,2
35,agua boa,MT,16
36,agua branca,AL,1
37,agua branca,PB,2
38,agua branca,PI,2
39,agua clara,MS,2
40,agua comprida,MG,2
41,agua doce,SC,1
42,agua doce do norte,ES,4
43,agua fria de goias,GO,1
44,agua limpa,GO,1
45,agua nova,RN,1
46,agua preta,PE,1
47,agua santa,RS,2
48,aguai,SP,10
49,aguas belas,PE,6
