,seller_id,num_orders,min_shipping_limit_date,max_shipping_limit_date,max_freight_value,min_freight_value,avg_freight_value
0,014c0679dd340a0e338872e7ec85666a,1,2018-02-08 13:49:36,2018-02-08 13:49:36,49.63,49.63,49.63
1,02d35243ea2e497335cd0f076b45675d,1,2017-12-22 12:19:24,2017-12-22 12:19:24,97.32,97.32,97.32
2,0307f7565ff85b299b6e5ef162b1b1a9,1,2017-03-06 12:05:26,2017-03-06 12:05:26,59.73,59.73,59.73
3,039e6ad9dae79614493083e241147386,5,2018-04-09 11:49:03,2018-08-06 21:06:10,49.55,104.72,69.684
4,04308b1ee57b6625f47df1d56f00eedf,13,2017-11-21 02:35:37,2018-07-24 21:50:27,24.55,70.29,39.393076923076926
5,054694fa03fe82cec4b7551487331d74,1,2017-05-11 20:10:15,2017-05-11 20:10:15,60.41,60.41,60.41
6,05feb94f19d094d4b0f9281f0b1d4c99,6,2017-08-21 06:44:03,2018-02-22 19:30:31,67.04,165.75,116.17333333333333
7,06532f10282704ef4c69168b914b77be,5,2017-03-13 06:45:15,2017-08-24 02:24:50,61.93,124.99,90.83
8,0873d9f8f36123f8d910f4760e788cfb,3,2018-05-11 20:35:27,2018-08-20 14:30:22,15.09,28.53,20.46666666666667
9,120476eb7a04c149d14772edaf5d9bf2,1,2018-07-19 09:30:17,2018-07-19 09:30:17,63.44,63.44,63.44
10,1444c08e64d55fb3c25f0f09c07ffcf2,1,2018-05-11 12:15:17,2018-05-11 12:15:17,69.74,69.74,69.74
11,16090f2ca825584b5a147ab24aa30c86,1,2018-08-10 14:04:56,2018-08-10 14:04:56,17.49,17.49,17.49
12,17e34d8224d27a541263c4c64b11a56b,3,2018-03-21 17:15:45,2018-06-03 23:17:46,94.15,177.26,142.80666666666664
13,17f51e7198701186712e53a39c564617,1,2018-02-05 17:50:44,2018-02-05 17:50:44,163.37,163.37,163.37
14,180c3376aff0e43dd5788709df48a843,3,2017-08-16 22:25:17,2018-01-10 08:32:00,24.41,57.1,39.10333333333333
15,1c5e4e49b9079480255b49d50aac1aa9,3,2017-05-03 16:35:14,2018-04-19 20:52:48,66.68,192.84,110.61666666666667
16,1d0997ff06b524ce9289ffd75114ecd3,2,2017-01-31 16:21:48,2017-03-23 16:55:28,24.0,40.94,32.47
17,1f1bb1f0859883505541bdd6606193e5,4,2017-04-19 21:10:19,2018-05-09 18:30:32,16.5,25.65,23.175
18,244b04680fdbded0acf5aebd9c92b44a,2,2017-12-28 18:52:15,2018-04-10 21:35:14,51.82,56.41,54.114999999999995
19,2528744c5ef5d955adc318720a94d2e7,2,2017-11-06 20:50:13,2017-12-29 14:57:24,68.33,116.83,92.58
20,257e61d3251fb5efb9daadddbc2cf7ca,1,2018-08-21 16:25:27,2018-08-21 16:25:27,99.4,99.4,99.4
21,25e6ffe976bd75618accfe16cefcbd0d,1,2017-06-06 08:45:17,2017-06-06 08:45:17,55.61,55.61,55.61
22,26d8a1c7c75d513045798992ead43aa2,1,2018-08-16 03:45:08,2018-08-16 03:45:08,33.15,33.15,33.15
23,270297ead4c65a6cd2593960d2af6b21,3,2017-09-20 20:05:18,2018-08-22 23:15:17,37.03,52.86,45.96666666666667
24,2a167ca73899c85001a837d8fb4962f6,1,2018-07-30 23:24:21,2018-07-30 23:24:21,31.34,31.34,31.34
25,2b3e4a2a3ea8e01938cabda2a3e5cc79,12,2017-05-16 02:50:10,2018-08-01 11:35:14,0.21,41.51,22.85785714285714
26,2bf6a2c1e71bbd29a4ad64e6d3c3629f,24,2017-11-08 13:25:20,2018-08-15 19:45:16,21.64,92.59,32.946799999999996
27,2eb70248d66e0e3ef83659f71b244378,1,2018-03-12 20:00:23,2018-03-12 20:00:23,21.47,21.47,21.47
28,2fdde51ad3e12f297da656d4fbd5d0b5,2,2017-10-16 13:35:18,2017-10-27 17:14:32,115.14,115.14,115.14
29,3364a91ec4d56c98e44174de954b94f6,2,2017-05-25 16:10:12,2017-06-05 23:15:13,33.43,50.43,41.93
30,33dd941c27854f7625b968cc6195a552,5,2018-06-01 16:31:16,2018-08-09 00:55:25,53.41,90.95,76.18199999999999
31,36a968b544695394e4e9d7572688598f,2,2017-04-27 21:45:10,2017-05-03 16:21:55,20.57,20.57,20.57
32,397c4d0c005b6f41f90098ac724e28cb,5,2018-04-16 21:31:18,2018-08-09 14:45:19,42.11,178.11,89.074
33,3bfba5a77604f6dfae7e6dd7aaf65821,1,2018-08-16 03:24:52,2018-08-16 03:24:52,71.49,71.49,71.49
34,403aa86912527d730337ffcb0fb096ab,2,2017-02-03 13:13:59,2017-02-14 10:19:22,18.0,36.23,27.115
35,40db9e9aa57f7bb151bcda6b0f9bdbb7,12,2018-02-15 09:47:53,2018-08-24 16:15:13,26.99,110.61,54.665833333333346
36,455c5640e8c5bd1b2ee85c0158f85727,2,2018-05-24 22:30:53,2018-05-29 08:35:25,101.63,125.05,113.34
37,458d868c9642f55f18f04e951a3fdde6,2,2017-06-14 18:42:30,2017-08-15 10:43:53,52.13,52.62,52.375
38,45a3d05fb00435e52a28859dd03703b3,1,2017-02-07 18:08:16,2017-02-07 18:08:16,24.79,24.79,24.79
39,4677a5437afda5fa7140b927b07be1cc,1,2018-06-25 18:23:13,2018-06-25 18:23:13,150.05,150.05,150.05
40,46dc3b2cc0980fb8ec44634e21d2718e,3,2017-02-16 12:38:40,2018-03-02 09:30:42,55.24,127.1,88.3
41,491a5ada3aa1678414e990262c4bbdc1,2,2017-03-14 21:03:03,2017-04-13 19:10:18,15.58,18.23,16.905
42,4a3ccda38b2129705f3fb522db62ca31,2,2018-02-15 16:50:06,2018-03-22 10:27:54,22.74,55.92,39.33
43,4c8545742faaf58fafd5fd14d25d75cf,1,2018-03-21 22:30:56,2018-03-21 22:30:56,39.59,39.59,39.59
44,4d0041cdbe51b4617d95c70b19decc74,3,2018-06-22 13:31:51,2018-07-25 09:10:16,24.8,66.07,42.51666666666666
45,512d298ac2a96d1931b6bd30aa21f61d,1,2018-08-16 14:24:28,2018-08-16 14:24:28,113.45,113.45,113.45
46,522620dcb18a6b31cd7bdf73665113a9,2,2018-05-30 18:57:56,2018-06-21 14:20:16,29.07,29.07,29.070000000000004
47,52ac6f920b7280e4c6d30dd94de6259b,2,2018-05-28 20:56:49,2018-05-29 08:31:49,121.05,121.05,121.05
48,52d76513f0c4d97f3b99570e2c94ee31,1,2018-08-09 20:15:22,2018-08-09 20:15:22,99.3,99.3,99.3
49,52f976b17ea7f2f087f56dcc419328f6,6,2017-10-13 10:35:34,2018-07-30 09:32:33,94.78,233.59,143.775
